ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
[Hemiramphus spp],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,120.2,,120,E
[Cypselurus spp],"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,7071.4,,7070,E
African moonfish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",1393,,1885,,2623.12,,5743,,4851.44,,6124,,3096,,3163,,2919.05,,2796.85,,1947.93,
African pompano,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,165.12,,701,
Alexandria pompano,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",1092,,485,,332,,495,,2298,,1411,E,1347,E,1870,E,1878,E,2440.64,,2458.58,
Amberjacks nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",185,,249,,155,,195,,131,,270,,219,,264,,281,,526.73,,534.57,
Atlantic bumper,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",15396,,22628,,30423.29,,35300,,34607.43,,26851,,30273,,49177,,26783.26,,30093.05,,29307.28,
Atlantic chub mackerel,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",234639,,316807,,233281.44,,274387,,314485.77,,313937,,375349,,328557.91,,392032.55,,485511.2,,385747.27,
Atlantic flyingfish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,335,,137,
Atlantic horse mackerel,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,8,,365,,24,,18,,0,N,153,,1209,,61,,25913.27,,25835.06,
Atlantic mackerel,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",76,,0,...,16784,,26519,,21571,,26664,,29420,,30538,,29397,,21230.4,,9061.05,
Atlantic pomfret,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",2570,,2630,,774,,4349,,2425,,2529,,5338,,7149,,5905.23,,9618.23,,7950.81,
Atlantic saury,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,8,,0,N,0,,0,...,0,...
Ballyhoo halfbeak,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,410,,361,
Barracudas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",36976,,35838,,39346.3,,45000,,42773.69,,46820,,54829,,56328,,50355.48,,41199.04,,44143.38,
"Barracudas, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.13,
Big-scale pomfret,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.03,
Big-scale sand smelt,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.12,
Blue butterfish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",6351,,6736,,7798,,6718,,7309,,7683,,7428,,8069,,7173,,7037.43,,6630.75,
Blue jack mackerel,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,432.55,,571.45,
Blue runner,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,138.5,,102.31,
Bluefish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",403,,5011,,5866,,663,,1573,,1520,,1020,,1255,,1872.01,,1855.79,E,1685.88,E
Bonga shad,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",247690,E,256986,E,272414.91,,383381,,323018.45,,297120,,288445,,406849,,365156.93,,383485.56,,371902,E
Carangids nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",14186,,18930,,18675,,24815,,11947,,15127,,15777,,8430,,34318.63,,29151.39,,76098.53,
Clupeoids nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",3232,,3208,,5600,E,4880,E,4121,E,4147,E,4124,E,6185,E,6766.38,E,6878.37,E,3746.15,E
Cobia,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",143,,176,,40,,231,,261,,51,,59,,63,,212,,227.95,,155,E
Common dolphinfish,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",344,,221,,480,,390,,597,,610,,463,,905,,755,,571.54,,451.2,
Crevalle jack,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",8317,,13311,,12355.4,,11102,,24357.22,,17687,,17455,,6921,,5442.1,,10273.14,,5149.86,
Cunene horse mackerel,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",2939,E,5727,,18262.72,,39092,,47284.81,,5071,,4543,,12438,,20078.2,,13999.9,,6439.45,
European anchovy,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",166270,,197029,,166915.53,,64355,,33838.46,,41947,,53229,,68051.13,,103692.75,,73953.6,,100520.35,
European barracuda,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1.12,
European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",963854,,737165,,750233,,718325,,937980,,925798,,1019618,,1186620.92,,1354790.84,,1290971.37,,1119883.05,
False scad,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",9671,,7335,,7648.46,,9563,,9384.98,,6073,,3502,,12642,,13671.6,,5867.94,,7510.45,
