Country (Name),ASFIS species (Name),Unit (Name),Unit,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S
South America,[Odontesthes smitti],Tonnes - live weight,"TLW, Number",0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Australia and New Zealand,[Hemiramphus spp],Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,343.61,,347.25,,283.3,,212.82,,263.48,,237.49,,258.69,,224.32,
Caribbean,[Hemiramphus spp],Tonnes - live weight,"TLW, Number",0,...,0,...,135.31,,169.78,,175.63,,250.9,,164.56,,102.83,,128.26,,120.14,,74.36,
Western Africa,[Hemiramphus spp],Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,120.2,,120,E
Western Africa,[Cypselurus spp],Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,7071.4,,7070,E
Australia and New Zealand,[Hyporhamphus ihi],Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,14.03,,23.46,
Middle Africa,African moonfish,Tonnes - live weight,"TLW, Number",279,,74,,651,,463,,443,,313,,554,,527,,531,,552.01,,568,
Western Africa,African moonfish,Tonnes - live weight,"TLW, Number",1114,,1382,,1729.12,,4396,,3575.44,,5717,,2398,,2636,,2388.05,,2244.84,,1379.87,
Western Asia,African moonfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Eastern Europe,African moonfish,Tonnes - live weight,"TLW, Number",0,,429,,243,,884,,833,,94,,144,,0,,0,,0,...,0,...
Southern Europe,African moonfish,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.06,
Western Europe,African moonfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
Northern Europe,African moonfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Others,African moonfish,Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Northern America,African pompano,Tonnes - live weight,"TLW, Number",5,,3,,1,,6,,6,,6,,5,,8,,7,,7,,7,
Caribbean,African pompano,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0.33,,0.39,,0,...,0,...,0,...,0.03,,0.1,
Western Africa,African pompano,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,165.12,,701,
